rsid,chr,pos
rs6434979,2,198705994
rs17563,14,53950804
rs11670192,19,58506273
rs4616575,22,29010088
rs12135286,1,222045419
rs1961622,12,50853220
rs9379084,6,7231610
rs6911915,6,117487868
rs2732875,X,9795858
rs13020391,2,218319713
rs6584283,10,99530544
rs36096333,5,135114972
rs1379647056,1,221920274
rs56324967,15,67110486
rs10849438,12,6302870
rs771590478,12,104694193
rs9441981,1,221837846
rs4925386,20,62345988
rs13042028,20,6457635
rs174594,11,61852357
rs11196173,10,112967308
rs3801081,7,47471563
rs6055341,20,7863756
rs6014965,20,57256147
rs11064437,12,6872998
rs12144319,1,54780362
rs1485995,11,69492939
rs6067417,20,50367160
rs280097,4,94016709
rs7810512,7,45110732
rs11067228,12,114656455
rs6086194,20,7768744
rs4236382,7,46849813
rs7679673,4,105140377
rs7295386,12,50827114
rs78268366,17,908167
rs144037597,6,35560427
rs11178634,12,71124549
rs10978941,9,107611538
rs7593422,2,199266972
rs61364263,7,77716781
rs35808169,12,4259441
rs3809570,15,66707779
rs1321310,6,36655347
rs11571833,13,32398489
rs7897438,10,112972548
rs2581817,3,53037781
rs72647484,1,22261235
rs4309038,1,201915519
rs10786774,10,103884565
rs1321311,6,36655123
rs4007642,9,22093300
rs62042090,16,86670343
rs11699816,20,50362072
rs755229494,5,112761654
rs7756236,6,36659276
rs17311057,3,78792639
rs4733767,8,127569333
rs12778523,10,8700290
rs7302363,12,50367284
rs9271695,6,32625303
rs11066015,12,111730205
rs2001732,3,52846724
rs10751097,11,70092327
rs4493936,8,117760945
rs9983528,21,46352525
rs9547700,13,36922109
rs79105258,12,111280427
rs983402,2,198916862
rs7768598,6,35552874
rs6510329,19,33029142
rs76316943,8,116836068
rs1886450,13,73412491
rs35360328,3,40883471
rs17365288,4,93983587
rs10821905,10,50886333
rs79101886,8,127401538
rs1124774,15,32703563
rs17035310,4,105143597
rs73975586,17,911003
rs3217840,12,4285711
rs7993934,13,110422568
rs6658977,1,221876478
rs671,12,111803962
rs11610322,12,6281247
rs114363880,7,45079791
rs12246635,10,112528860
rs9634162,12,114660289
rs4554811,10,112518975
rs2635513,18,48978390
rs10923748,1,119105323
rs2990223,1,155215184
rs3184504,12,111446804
rs493809,20,62366004
rs10802076,1,119147735
rs2238126,12,11856807
rs4811050,20,50364133
rs6912214,6,55856504
rs174533,11,61781553
rs6633,12,123261262
rs55740746,20,50443160
rs1035209,10,99585609
rs7572632,2,198964426
rs827386,10,8663948
rs9273736,6,32661595
rs7105857,11,111300019
rs6017248,20,44029634
rs2293582,15,32718211
rs7315438,12,115453598
rs983318,17,72417112
rs4600332,13,110426525
rs2976384,8,142671576
rs2511653,8,116609353
rs944796,9,22115286
rs2003311,11,111333946
rs12149163,16,86305709
rs61237993,9,34130437
rs1554868,15,32707282
rs55810369,5,40090682
rs6020486,20,50409574
rs4302273,20,7861655
rs10161980,13,33519381
rs6691170,1,221872104
rs11255866,10,8715481
rs72942485,3,113280713
rs78341008,13,73217417
rs10774214,12,4259186
rs17686932,7,130915989
rs10409772,19,5840915
rs2236200,20,62410963
rs11692435,2,97658891
rs4776964,15,67724617
rs139427218,3,155846287
rs2516452,6,31459318
rs72746180,5,40240318
rs7333607,13,36887873
rs11087784,20,7760329
rs2517448,6,31094890
rs11108174,12,95656976
rs28605759,1,37934144
rs12822620,12,4270665
rs6673317,1,221901400
rs505706,1,243984233
rs448513,2,159108040
rs17500846,10,50882624
rs6065668,20,43904181
rs77802795,10,112505312
rs6085662,20,6717725
rs2208603,6,55712416
rs6063514,20,50438781
rs11707109,3,40873097
rs7206216,16,86304682
rs6061231,20,62381861
rs11042717,11,10282392
rs10902298,11,54880568
rs1321456,20,6618881
rs899244,16,86666424
rs11118883,1,221887680
rs28488,20,6781574
rs12427600,13,36886511
rs1815949,11,111361534
rs10936599,3,169774313
rs12022676,1,221972743
rs61336918,16,79973369
rs58791712,5,40281696
rs2048123439,14,58737802
rs2427308,20,62394395
rs10876069,12,50599395
rs17094983,14,58722643
rs174570,11,61829740
rs7130173,11,111283347
rs80207046,10,112546682
rs57284764,15,32765365
rs4119480,13,36897942
rs2585181,8,142690296
rs12202969,6,98128347
rs2853672,5,1292868
rs3824999,11,74634505
rs78234435,11,111293072
rs1862626,5,56737113
rs3217870,12,4290945
rs17129837,10,112523357
rs130651,22,39248268
rs245143,5,56512322
rs11813268,10,103922538
rs7728240,5,135096259
rs10427139,19,33082538
rs11907546,20,34131991
rs6589219,11,111302186
rs1868992,1,149936215
rs4565487,8,116637666
rs4247120,17,17015889
rs254563,5,135104736
rs11571818,13,32394673
rs4727436,7,99888542
rs7171667,15,31393046
rs143875052,4,105229398
rs11476204,20,7864182
rs10101741,8,127443774
rs761353,6,41716907
rs138299249,6,126862325
rs73026242,19,33343190
rs2002315,11,70095730
rs1736339795,4,175419866
rs9930005,16,80009361
rs1446646,2,199379146
rs6768221,3,47255409
rs186507655,1,1351675
rs11670056,19,18479133
rs1827336845,9,108131440
rs11761214,7,51473441
rs150661405,12,4255354
rs17124432,12,50116994
rs12979278,19,48715345
rs1250552,10,79298270
rs8022952,14,50927762
rs6007594,22,45332489
rs2186607,11,101785666
rs4444235,14,53944201
rs481519,3,27285723
rs17720145,20,6403063
rs116353863,6,31042408
rs57939401,6,45604334
rs7257330,19,29810916
rs1258757,15,32759483
rs141093369,1,221975917
rs3133285,8,116617172
rs10811654,9,22092925
rs11557154,9,34107507
rs4971775,2,51959960
rs10506868,10,112559621
rs6691195,1,221989031
rs4313119,8,127559610
rs1810501,20,50440997
rs9729284,1,37908317
rs12312603,12,879103
rs4811073,20,50483272
rs7763616,6,55746211
rs59741749,10,8668452
rs6950598,7,18931900
rs16967637,17,42294404
rs11677670,2,25287407
rs7068313,10,112966167
rs2049942,20,7864739
rs146812962,11,94335958
rs77572134,3,52861918
rs7495132,15,90629669
rs7944895,11,111297051
rs1330889,13,78035480
rs73117563,5,53620662
rs7725218,5,1282299
rs847208,16,86220445
rs704417,3,64266748
rs11977526,7,45968511
rs6687758,1,221991606
rs77994,20,62355037
rs6091213,20,50768208
rs9915645,17,909294
rs56084662,13,32295727
rs1810502,20,50440951
rs8000189,13,110423534
rs56270678,9,33841829
rs7708610,5,40102341
rs10821907,10,50888694
rs2317214,8,116587360
rs16959442,15,32837121
rs826732,8,58830080
rs73161913,7,130923020
rs9797885,19,41367096
rs34405347,9,98917470
rs2287921,19,48725015
rs685870,11,64344456
rs2527927,7,99879803
rs17745484,2,25328261
rs9530146,13,73081614
rs79052526,1,22246214
rs10817106,9,110892374
rs7614538,3,133988157
rs190984989,7,132350882
rs10891246,11,111299815
rs6125934,20,50187400
rs9313579,5,172151880
rs8001158,13,110423311
rs4808075,19,17279482
rs755726,20,62387568
rs11884596,2,198747683
rs7564883,2,198932073
rs10849432,12,6276561
rs6265,11,27658369
rs6768530,3,64625656
rs111936498,10,112503014
rs10746414,1,221886008
rs141177865,11,100525884
rs80081514,11,94377267
rs9614460,22,45349348
rs4767318,12,115436249
rs6133350,20,6734325
rs1426947,4,174499372
rs181112261,8,116752783
rs4901473,14,53978439
rs205780,7,130966100
rs76409885,17,83107711
rs72894778,6,35489950
rs350047,5,40252192
rs12442323,15,67362581
rs10022844,4,150578288
rs969095,5,23023985
rs140356782,10,89745536
rs1859963,17,71116966
rs3830041,6,32223562
rs4630240,10,46063294
rs4917877,10,99670281
rs639933,5,135132061
rs7320268,13,33505729
rs17035289,4,105127134
rs10948,19,10644229
rs4442975,2,217056046
rs200141259,8,127417211
rs4360494,1,37990219
rs1258756,15,32759609
rs12481104,20,50421401
rs8098041,18,48922505
rs4572213,12,4256383
rs2450114,8,116611480
rs10971921,9,34111004
rs11255835,10,8690924
rs2270003,1,54783029
rs11779352,8,116801302
rs353397,5,40233235
rs12255141,10,112535133
rs2870841,12,71082904
rs2427291,20,62346268
rs577506393,4,168618094
rs12263636,10,79073905
rs57064586,3,134026952
rs12427378,12,50680416
rs209489,6,53312880
rs11844632,14,68559662
rs2738783,20,63677259
rs73864033,3,134018138
rs9330814,22,45968311
rs2525548,7,99955544
rs2250430,12,6312008
rs9831861,3,53054269
rs235770,20,6781118
rs11579490,1,221877125
rs9952412,18,48939170
rs2531992,16,3971733
rs6933790,6,41705031
rs6086195,20,7768820
rs2427313,20,62395619
rs1917932,2,198887889
rs1773860,10,29002627
rs7160450,14,53990513
rs6088765,20,35211477
rs992157,2,218290058
rs1865252,3,85439590
rs5934683,X,9783434
rs40270,5,56508725
rs72818736,10,89639807
rs77148098,15,67783360
rs9462210,6,36661176
rs77433872,17,83067868
rs10980628,9,110909123
rs7805382,7,44991716
rs181884741,15,32814955
rs6913578,6,151628671
rs7955205,12,6316761
rs11610543,12,42740389
rs28463100,15,67786431
rs1737335,6,6725907
rs4698928,4,104931396
rs17060573,4,174507579
rs12666319,7,46844977
rs72729468,1,183135611
rs528673883,2,64056664
rs200713222,12,119996606
rs1124850,15,41888333
rs34071846,2,33089897
rs209142,6,28894840
rs4724582,7,47469849
rs497916,11,118887380
rs10994856,10,50885488
rs10006803,4,150580056
rs74106363,12,83270580
rs151127921,6,133672787
rs4730274,7,107839274
rs7078610,10,8627255
rs12539962,7,73752929
rs4233286,1,22362096
rs367615,5,109613236
rs6426749,1,22384980
rs12700664,7,25835531
rs76602912,20,58884813
rs17488834,2,97737676
rs11903757,2,191722478
rs4711689,6,41725074
rs776092710,3,6145745
rs4971099,1,155183132
rs79122086,8,127385662
rs9264943,6,31306744
rs6475604,9,22052735
rs16959063,15,32813529
rs1046872,11,111308665
rs4668039,2,168168869
rs1620977,1,72263459
rs1491041,12,77600242
rs10905423,10,8605775
rs1497077,14,52024937
rs7252505,19,33084158
rs7252453,19,19543308
rs4849030,2,112126747
rs201395236,1,245018119
rs1260326,2,27508073
rs71407320,15,90642059
rs2131902,1,154587122
rs112191583,1,22227885
rs11066453,12,112927816
rs1590566,10,89778781
rs60749216,3,78686338
rs11087365,20,2254765
rs285245,19,16310006
rs141612737,17,20268587
rs6007600,22,45341600
rs201058,6,6725784
rs35783535,2,98006764
rs11108173,12,95656975
rs4768903,12,50651666
rs73068325,19,58567729
rs4759275,12,57131973
rs7005722,8,137776570
rs2919408,8,72827017
rs57989199,15,66699126
rs1535,11,61830500
rs1701530871,2,198747402
rs9271770,6,32626471
rs147759720,22,40539619
rs2155065,11,101745280
rs12659017,5,126652483
rs6062509,20,63731211
rs62401893,6,31349584
rs7680787,4,121702910
rs7542665,1,62207365
